RICE17 chronology interpolated ages

Citation: James E. Lee, Edward J. Brook, Jeffrey P. Severinghaus, Thomas Blunier, Christo Buizert, T.J. Fudge, Howard Conway, Ed D. Waddington, Frédéric Parrenin, Dorthe Dahl-Jensen, Mai Winstrup, Paul Vallelonga, V. Gabriela Ciobanu, and Nancy Bertler: An 83,000 year old ice core from Roosevelt Island, Ross Sea, Antarctica, Climate of the Past.
 


Notes:
All ages are in years before present (BP), with present set to calendar year 1950 C.E.

0-343 m:	ice age interpolated from ALC
	 	gas ages interpolated b/w FCP's assuming piecewise constant accumulation and a Nye thinning profile

343-746 m:	gas and ice ages interpolated between FCP's assuming piecewise constant accumulation and a Nye thinning profile

>746 m:		gas and ice ages linearly interpolated between age control points
 

Column 1: Depth - meters below surface
Column 2: Ice_Age - years BP
Column 3: Gas_Age - years BP

For questions on the use or construction of this chronology, please contact:

<jlee@coas.oregonstate.edu>     James E. Lee

  
<brooke@geo.oregonstate.edu>	Ed Brook

Depth Ice_Age Gas_Age
0.0000 NaN NaN
1.0000 -61 NaN
2.0000 -59 NaN
3.0000 -56 NaN
4.0000 -54 NaN
5.0000 -52 NaN
6.0000 -49 NaN
7.0000 -46 NaN
8.0000 -43 NaN
9.0000 -41 NaN
10.0000 -38 NaN
11.0000 -35 NaN
12.0000 -32 NaN
13.0000 -30 NaN
14.0000 -27 NaN
15.0000 -24 NaN
16.0000 -21 NaN
17.0000 -18 NaN
18.0000 -15 NaN
19.0000 -13 NaN
20.0000 -11 NaN
21.0000 -8 NaN
22.0000 -5 NaN
23.0000 -1 NaN
24.0000 2 NaN
25.0000 5 NaN
26.0000 7 NaN
27.0000 11 NaN
28.0000 14 NaN
29.0000 18 NaN
30.0000 21 NaN
31.0000 24 NaN
32.0000 27 NaN
33.0000 31 NaN
34.0000 35 NaN
35.0000 38 NaN
36.0000 41 NaN
37.0000 45 NaN
38.0000 48 NaN
39.0000 51 NaN
40.0000 56 NaN
41.0000 59 NaN
42.0000 64 NaN
43.0000 68 NaN
44.0000 72 NaN
45.0000 75 NaN
46.0000 79 NaN
47.0000 83 -61
48.0000 87 -57
49.0000 91 -54
50.0000 96 -51
51.0000 100 -48
52.0000 104 -45
53.0000 109 -42
54.0000 113 -39
55.0000 117 -36
56.0000 120 -33
57.0000 124 -30
58.0000 127 -27
59.0000 131 -24
60.0000 135 -21
61.0000 141 -17
62.0000 145 -14
63.0000 150 -10
64.0000 155 -6
65.0000 160 -2
66.0000 164 2
67.0000 168 5
68.0000 173 9
69.0000 176 13
70.0000 182 17
71.0000 186 21
72.0000 192 25
73.0000 196 29
74.0000 201 33
75.0000 205 37
76.0000 210 41
77.0000 215 45
78.0000 219 49
79.0000 222 53
80.0000 227 57
81.0000 232 61
82.0000 236 65
83.0000 241 69
84.0000 246 73
85.0000 251 77
86.0000 255 82
87.0000 260 86
88.0000 265 90
89.0000 270 94
90.0000 275 99
91.0000 279 104
92.0000 284 110
93.0000 288 116
94.0000 293 122
95.0000 297 128
96.0000 303 133
97.0000 308 139
98.0000 313 145
99.0000 317 151
100.0000 320 157
100.5000 323 160
101.0000 326 163
101.5000 329 165
102.0000 332 168
102.5000 334 171
103.0000 337 174
103.5000 339 177
104.0000 342 180
104.5000 345 183
105.0000 348 186
105.5000 350 189
106.0000 353 192
106.5000 356 195
107.0000 358 198
107.5000 360 201
108.0000 363 204
108.5000 365 207
109.0000 369 210
109.5000 371 213
110.0000 374 216
110.5000 376 219
111.0000 379 222
111.5000 381 225
112.0000 384 228
112.5000 386 231
113.0000 389 234
113.5000 392 237
114.0000 395 240
114.5000 397 243
115.0000 400 246
115.5000 402 249
116.0000 405 252
116.5000 408 255
117.0000 412 258
117.5000 414 261
118.0000 417 263
118.5000 420 265
119.0000 423 268
119.5000 425 270
120.0000 428 273
120.5000 432 275
121.0000 435 277
121.5000 438 280
122.0000 440 282
122.5000 442 285
123.0000 445 287
123.5000 448 289
124.0000 451 292
124.5000 453 294
125.0000 455 297
125.5000 459 299
